game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Jonas Valanciunas,Nerlens Noel,,,,,,,Jonas Valanciunas,,Naji Marshall,,,,jump ball,,,,,,Jump Ball Noel vs. Valanciunas: Tip to Marshall
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:35,0:00:25,0:00:25,3,NOP,shot,,,,,,,,,,CJ McCollum,2,,,made,,driving floating bank jump shot,5,48,15,20.2,6.5,McCollum 5' Driving Floating Bank Jump Shot (2 PTS)
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:17,0:00:43,0:00:18,4,DET,shot,,,,,,,,,,Saddiq Bey,0,,,missed,,layup,3,-4,29,24.6,86.1,MISS Bey 3' Layup
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:14,0:00:46,0:00:03,5,DET,rebound,,,,,,,,,,Saddiq Bey,,,,,,rebound offensive,,,,,,Bey REBOUND (Off:1 Def:0)
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:12,0:00:48,0:00:02,6,DET,shot,,,,,,,,,,Saddiq Bey,0,,,missed,,layup,1,6,13,25.6,87.7,MISS Bey 1' Tip Layup Shot
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:08,0:00:52,0:00:04,7,NOP,rebound,,,,,,,,,,Trey Murphy III,,,,,,rebound defensive,,,,,,Murphy III REBOUND (Off:0 Def:1)
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:03,0:00:57,0:00:05,8,NOP,turnover,,,,,,,,,,Naji Marshall,,,traveling,,,traveling,,,,,,Marshall Traveling Turnover (P1.T1)
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,0,0:11:03,0:00:57,0:00:00,9,NOP,violation,,,,,,,,,,,,,,,,delay of game,,,,,,Pelicans Violation: Delay of game Violation
22200632,2022-23 Regular Season,2023-01-13,Jonas Valanciunas,Naji Marshall,CJ McCollum,Trey Murphy III,Dyson Daniels,Nerlens Noel,Saddiq Bey,Bojan Bogdanovic,Jaden Ivey,Killian Hayes,1,2,2,0:10:46,0:01:14,0:00:17,10,DET,shot,,,,,,,,,,Bojan Bogdanovic,2,,,made,,jump shot,17,15,171,26.5,71.9,Bogdanovic 17' Pullup Jump Shot (2 PTS)
